# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=korean,한국어
	ICON=Icons/korean.png
	ORDER=80

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=RenogareKR,62

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_NS=
		이 아이콘이 표시되면
		콘솔 전원을 끄지 마세요.
	AUTOSAVING_TITLE_PS4=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_PS4=
		이 아이콘이 표시되면
		콘솔 전원을 끄지 마세요.
	AUTOSAVING_TITLE_XB1=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_XB1=
		이 아이콘이 표시되면
		콘솔 전원을 끄지 마세요.
	AUTOSAVING_TITLE_PC=
		이 게임은 자동 저장 기능을 지원합니다.
	AUTOSAVING_DESC_PC=
		이 아이콘이 표시되면
		컴퓨터 전원을 끄지 마세요.

# Main Menu
	MENU_DEBUG=		~디버그~
	MENU_BEGIN=		오르기
	MENU_PICO8=		PICO-8
	MENU_OPTIONS=	옵션
	MENU_CREDITS=	스태프 롤
	MENU_EXIT=		게임 종료

# Options
	OPTIONS_TITLE=			옵션
	OPTIONS_CONTROLS=		컨트롤
	OPTIONS_RUMBLE_PC=		진동
	OPTIONS_RUMBLE_PS4=		진동
	OPTIONS_RUMBLE_XB1=		진동
	OPTIONS_RUMBLE_NS=		진동
	OPTIONS_RUMBLE_ON=		100%
	OPTIONS_RUMBLE_HALF=	50%
	OPTIONS_RUMBLE_OFF=		OFF
	OPTIONS_GRAB_MODE=		잡기 모드
	OPTIONS_CROUCH_DASH_MODE=	웅크린 대시 모드
	OPTIONS_BUTTON_PRESS=	누르기
	OPTIONS_BUTTON_HOLD=	길게 누르기
	OPTIONS_BUTTON_INVERT=	반전
	OPTIONS_BUTTON_TOGGLE=	토글
	OPTIONS_KEYCONFIG=		키보드 설정
	OPTIONS_BTNCONFIG=		컨트롤러 설정

	OPTIONS_VIDEO=			비디오
	OPTIONS_FULLSCREEN=		전체 화면
	OPTIONS_WINDOW=			창 크기
	OPTIONS_VSYNC=			수직 동기화
	OPTIONS_VIEWPORT_NS=	화면 크기 조정
	OPTIONS_VIEWPORT_PS4=	화면 크기 조정
	OPTIONS_VIEWPORT_XB1=	화면 크기 조정
	OPTIONS_VIEWPORT_PC=	화면 크기 조정
	OPTIONS_DISABLE_FLASH=	깜박임 효과 줄이기
	OPTIONS_DISABLE_SHAKE=	화면 흔들림 효과

	OPTIONS_AUDIO=			오디오
	OPTIONS_MUSIC=			배경음악
	OPTIONS_SOUNDS=			효과음

	OPTIONS_GAMEPLAY=		게임 플레이
	OPTIONS_SPEEDRUN=		스피드런 타이머
	OPTIONS_SPEEDRUN_CHAPTER=챕터
	OPTIONS_SPEEDRUN_FILE=	파일
	OPTIONS_DASHES=			대시 카운터
	OPTIONS_LANGUAGE=		언어
	OPTIONS_ON=				ON
	OPTIONS_OFF=			OFF

# KEYBOARD CONFIG
	KEY_CONFIG_TITLE=		키보드 설정
	KEY_CONFIG_GAMEPLAY=	동작
	KEY_CONFIG_LEFT=		왼쪽
	KEY_CONFIG_RIGHT=		오른쪽
	KEY_CONFIG_UP=			위
	KEY_CONFIG_DOWN=		아래
	KEY_CONFIG_JUMP=		점프
	KEY_CONFIG_DASH=		대시
	KEY_CONFIG_GRAB=		잡기
	KEY_CONFIG_TALK=		대화하기
	KEY_CONFIG_MENUS=		메뉴
	KEY_CONFIG_CONFIRM=		확인
	KEY_CONFIG_CANCEL=		취소
	KEY_CONFIG_PAUSE=		일시 정지
	KEY_CONFIG_JOURNAL=		등산 일지
	KEY_CONFIG_QUICKRESTART=빠른 재시작
	KEY_CONFIG_RESET=		초기값으로 되돌리기
	KEY_CONFIG_CHANGING=	설정할 키 누르기:
	KEY_CONFIG_MOVE_ONLY=	이동만
	KEY_CONFIG_DASH_ONLY=	대시만

# CONTROLLER CONFIG
	BTN_CONFIG_TITLE=		컨트롤러 설정
	BTN_CONFIG_INFO=		 | 버튼으로 키를 추가하고, | 버튼으로 키를 삭제합니다.
	BTN_CONFIG_CHANGING=	설정할 버튼 누르기:
	BTN_CONFIG_NOCONTROLLER=컨트롤러를 연결해주세요.

# ADDITIONAL OPTIONS FOR V1.4.0.0
	KEY_CONFIG_DEMO=		웅크린 대시
	KEY_CONFIG_ADVANCED=	고급
